2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\news\urls.py first seen with mtime 1735333057.6621654
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\socialaccount\providers\oauth2\views.py first seen with mtime 1733598401.5741732
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1733595953.2673745
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1733595953.3501532
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\email\generator.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\idna\__init__.py first seen with mtime 1733598482.312139
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\textwrap.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1733595953.2294774
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\email\_header_value_parser.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1733595953.2115238
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\statistics.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\socialaccount\providers\base\__init__.py first seen with mtime 1733598401.4485154
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\contrib\sites\management.py first seen with mtime 1733595953.1001837
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1733595952.3206742
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\allauth\account\__init__.py first seen with mtime 1733598401.2783735
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\urllib3\util\wait.py first seen with mtime 1733598481.9538705
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1733595951.4559443
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1733595953.3262174
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\token.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\AppData\Local\Programs\Python\Python312\Lib\platform.py first seen with mtime 1707246618.0
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1733595953.3401797
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\redis\_parsers\socket.py first seen with mtime 1735127331.9665594
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\django\db\models\manager.py first seen with mtime 1733595953.257401
2025-01-28 19:54:04 DEBUG autoreload File C:\Users\t1mm1\skill\SkillBoom\NewsPaper\venv\Lib\site-packages\urllib3\__init__.py first seen with mtime 1733598481.9382644
